Country,ABV,Continente,HomMed,PIB_PORCENTO
Albania,ALB,Europa,2.3692,3.5
Andorra,AND,Europa,0.004666666666666667,3.3
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,2.5
Argentina,ARG,America_do_Sul,2.485957142857143,5.9
Armenia,ARM,Asia,0.29600000000000004,2.8
Australia,AUS,Oceania,0.1637,5.2
Austria,AUT,Europa,0.1401375,5.4
Azerbaijan,AZE,Asia,0.275,3
Bahrain,BHR,Asia,0.061200000000000004,2.7
Barbados,BRB,America_do_Norte,1.2622,5.1
Belarus,BLR,Europa,0.123305,5
Belgium,BEL,Europa,0.2617714285714286,6.6
Belize,BLZ,America_do_Norte,20.573014285714287,7.4
Bermuda,BMU,America_do_Norte,4.113833333333333,1.5
Bolivia,BOL,America_do_Sul,0.748,7.3
Brazil,BRA,America_do_Sul,19.717585714285715,5.9
Brunei,BRN,Asia,0,4.4
Bulgaria,BGR,Europa,0.3552,4.1
Canada,CAN,America_do_Norte,0.5107111111111111,5.3
Chile,CHL,America_do_Sul,1.6417714285714287,4.9
Colombia,COL,America_do_Sul,26.9846,4.5
Congo-Drc,COD,Africa,1.3555000000000001,2.3
Costa-Rica,CRI,America_do_Norte,6.083616666666667,7.1
Croatia,HRV,Europa,0.36265000000000003,4.6
Cuba,CUB,America_do_Norte,0.2187714285714286,12.8
Cyprus,CYP,Asia,0.466375,6.1
Czech-Republic,CZE,Europa,0.1352625,4
Denmark,DNK,Europa,0.14444285714285715,7.6
Dominica,DMA,America_do_Norte,3.3232857142857144,3.4
Ecuador,ECU,America_do_Sul,6.795957142857143,5
Egypt,EGY,Africa,0.11957142857142856,3.8
El-Salvador,SLV,America_do_Norte,39.16866666666667,3.5
Estonia,EST,Europa,0.34851666666666664,5.5
Fiji,FJI,Oceania,0,3.9
Finland,FIN,Europa,0.28034285714285717,7.2
France,FRA,Europa,0.1936,5.5
Georgia,GEO,Asia,5.197555555555556,3.8
Germany,DEU,Europa,0.06882857142857143,4.9
Grenada,GRD,America_do_Norte,0.2636671428571429,10.3
Guatemala,GTM,America_do_Norte,25.575985714285714,2.8
Guyana,GUY,America_do_Sul,4.6583,3.2
Honduras,HND,America_do_Norte,53.2672,5.9
Hong-Kong,HKG,Asia,0.00824,3.3
Hungary,HUN,Europa,0.0776375,4.6
Iceland,ISL,Europa,0.039177125,7.8
India,IND,Asia,0.25409000000000004,3.8
Iran,IRN,Asia,0.48200000000000004,3.4
Ireland,IRL,Europa,0.3053666666666667,4.9
Israel,ISR,Asia,0.8773857142857143,5.7
Italy,ITA,Europa,0.3159142857142857,4.1
Jamaica,JAM,America_do_Norte,25.892116666666666,5.4
Japan,JPN,Asia,0.004285714285714286,3.6
Jordan,JOR,Asia,1.21725,3.9
Kazakhstan,KAZ,Asia,0.4828142857142857,3
Kyrgyzstan,KGZ,Asia,0.3412857142857143,6
Latvia,LVA,Europa,0.2730571428571429,5.3
Liberia,LBR,Africa,0.445,2.8
Liechtenstein,LIE,Europa,0.0026666666666666666,2.6
Lithuania,LTU,Europa,0.2451875,4.5
Luxembourg,LUX,Europa,0.08344285714285715,4
Malaysia,MYS,Asia,0.04123333333333334,4.8
Maldives,MDV,Asia,0,4.3
Malta,MLT,Europa,0.3361657142857143,7.2
Mauritius,MUS,Africa,0.098,5.1
Mexico,MEX,America_do_Norte,11.3781,5.3
Moldova,MDA,Europa,0.29512499999999997,6.7
Mongolia,MNG,Asia,0.251525,5.2
Montserrat,MSR,America_do_Norte,36.42857142857143,5.1
Morocco,MAR,Africa,0.029333333333333333,5.3
Namibia,NAM,Africa,2.48375,8.3
Netherlands,NLD,Europa,0.22265,5.5
New-Zealand,NZL,Oceania,0.16821428571428573,6.3
Nicaragua,NIC,America_do_Norte,3.345957142857143,4.5
Norway,NOR,Europa,0.28314285714285714,7.7
Oman,OMN,Asia,0,6.2
Palestine,PSE,Asia,2.03075,5.7
Panama,PAN,America_do_Norte,15.201657142857142,3.2
Paraguay,PRY,America_do_Sul,5.18525,5
Peru,PER,America_do_Sul,0.4888142857142857,3.8
Philippines,PHL,Asia,7.470433333333333,2.7
Poland,POL,Europa,0.041671428571428575,4.9
Portugal,PRT,Europa,0.2853,5.1
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,6
Qatar,QAT,Asia,0.0752,3.6
Romania,ROU,Europa,0.0351375,3.1
Russia,RUS,Asia,0.9014,3.8
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,3.7
Saudi-Arabia,SAU,Asia,0.035,5.1
Serbia,SRB,Europa,0.7431428571428571,4
Singapore,SGP,Asia,7.142857142857143e-4,2.9
Slovakia,SVK,Europa,0.18293333333333334,4.6
Slovenia,SVN,Europa,0.25871428571428573,5.3
South-Africa,ZAF,Africa,11.9525,5.9
South-Korea,KOR,Asia,0.020142857142857143,5.1
South-Sudan,SSD,Africa,1.993,1.8
Spain,ESP,Europa,0.1273,4.3
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,2.8
St-Lucia,LCA,America_do_Norte,12.572,5.7
Sweden,SWE,Europa,0.2340125,7.7
Switzerland,CHE,Europa,0.18586666666666668,5.1
Syria,SYR,Asia,0.616,5.1
Tajikistan,TJK,Asia,0.21270666666666666,5.2
Thailand,THA,Asia,2.587625,4.1
Tunisia,TUN,Africa,0.0345,6.6
Turkey,TUR,Europa,0.777,4.4
Turks-And-Caicos,TCA,America_do_Norte,3.117,3.3
Uganda,UGA,Africa,1.54006,2.3
Ukraine,UKR,Europa,0.22356,5.9
United-Kingdom,GBR,Europa,0.03181428571428571,5.6
United-States,USA,America_do_Norte,3.8391555555555557,5
Uruguay,URY,America_do_Sul,3.5788285714285712,4.4
Venezuela,VEN,America_do_Sul,28.57428,6.9
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,6.3
Zambia,ZMB,Africa,0.305,1.1
