Country,ABV,Continente,HomMed,IDH
Albania,ALB,Europa,2.3692,0.7849999999999999
Andorra,AND,Europa,0.004666666666666667,0.8580000000000001
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,0.7799999999999999
Argentina,ARG,America_do_Sul,2.485957142857143,0.8250000000000001
Armenia,ARM,Asia,0.29600000000000004,0.755
Australia,AUS,Oceania,0.1637,0.9390000000000001
Austria,AUT,Europa,0.1401375,0.908
Azerbaijan,AZE,Asia,0.275,0.757
Bahamas,BHS,America_do_Norte,29.101166666666668,0.807
Bahrain,BHR,Asia,0.061200000000000004,0.8460000000000001
Barbados,BRB,America_do_Norte,1.2622,0.8
Belarus,BLR,Europa,0.123305,0.808
Belgium,BEL,Europa,0.2617714285714286,0.916
Belize,BLZ,America_do_Norte,20.573014285714287,0.708
Bolivia,BOL,America_do_Sul,0.748,0.693
Bosnia-And-Herzegovina,BIH,Europa,0.49688,0.768
Brazil,BRA,America_do_Sul,19.717585714285715,0.759
Brunei,BRN,Asia,0,0.8530000000000001
Bulgaria,BGR,Europa,0.3552,0.8130000000000001
Canada,CAN,America_do_Norte,0.5107111111111111,0.926
Chile,CHL,America_do_Sul,1.6417714285714287,0.8430000000000001
Colombia,COL,America_do_Sul,26.9846,0.747
Congo-Drc,COD,Africa,1.3555000000000001,0.457
Costa-Rica,CRI,America_do_Norte,6.083616666666667,0.7939999999999999
Croatia,HRV,Europa,0.36265000000000003,0.8310000000000001
Cuba,CUB,America_do_Norte,0.2187714285714286,0.777
Cyprus,CYP,Asia,0.466375,0.8690000000000001
Czech-Republic,CZE,Europa,0.1352625,0.888
Denmark,DNK,Europa,0.14444285714285715,0.929
Dominica,DMA,America_do_Norte,3.3232857142857144,0.715
Dominican-Republic,DOM,America_do_Norte,8.24834,0.736
Ecuador,ECU,America_do_Sul,6.795957142857143,0.752
Egypt,EGY,Africa,0.11957142857142856,0.696
El-Salvador,SLV,America_do_Norte,39.16866666666667,0.6739999999999999
Estonia,EST,Europa,0.34851666666666664,0.8710000000000001
Fiji,FJI,Oceania,0,0.741
Finland,FIN,Europa,0.28034285714285717,0.92
France,FRA,Europa,0.1936,0.901
Georgia,GEO,Asia,5.197555555555556,0.7799999999999999
Germany,DEU,Europa,0.06882857142857143,0.936
Greece,GRC,Europa,0.46208571428571427,0.8700000000000001
Grenada,GRD,America_do_Norte,0.2636671428571429,0.772
Guatemala,GTM,America_do_Norte,25.575985714285714,0.65
Guyana,GUY,America_do_Sul,4.6583,0.654
Honduras,HND,America_do_Norte,53.2672,0.617
Hong-Kong,HKG,Asia,0.00824,0.933
Hungary,HUN,Europa,0.0776375,0.8380000000000001
Iceland,ISL,Europa,0.039177125,0.935
India,IND,Asia,0.25409000000000004,0.64
Iran,IRN,Asia,0.48200000000000004,0.7979999999999999
Ireland,IRL,Europa,0.3053666666666667,0.9380000000000001
Israel,ISR,Asia,0.8773857142857143,0.903
Italy,ITA,Europa,0.3159142857142857,0.88
Jamaica,JAM,America_do_Norte,25.892116666666666,0.732
Japan,JPN,Asia,0.004285714285714286,0.909
Jordan,JOR,Asia,1.21725,0.735
Kazakhstan,KAZ,Asia,0.4828142857142857,0.8
Kuwait,KWT,Asia,0.24783333333333332,0.803
Kyrgyzstan,KGZ,Asia,0.3412857142857143,0.6719999999999999
Latvia,LVA,Europa,0.2730571428571429,0.8470000000000001
Liberia,LBR,Africa,0.445,0.43500000000000005
Liechtenstein,LIE,Europa,0.0026666666666666666,0.916
Lithuania,LTU,Europa,0.2451875,0.8580000000000001
Luxembourg,LUX,Europa,0.08344285714285715,0.904
Macedonia,MKD,Europa,0.73232,0.757
Malaysia,MYS,Asia,0.04123333333333334,0.802
Maldives,MDV,Asia,0,0.717
Malta,MLT,Europa,0.3361657142857143,0.8780000000000001
Mauritius,MUS,Africa,0.098,0.7899999999999999
Mexico,MEX,America_do_Norte,11.3781,0.774
Moldova,MDA,Europa,0.29512499999999997,0.7
Mongolia,MNG,Asia,0.251525,0.741
Montenegro,MNE,Europa,1.910670425,0.8140000000000001
Morocco,MAR,Africa,0.029333333333333333,0.6669999999999999
Namibia,NAM,Africa,2.48375,0.647
Netherlands,NLD,Europa,0.22265,0.931
New-Zealand,NZL,Oceania,0.16821428571428573,0.917
Nicaragua,NIC,America_do_Norte,3.345957142857143,0.658
Norway,NOR,Europa,0.28314285714285714,0.9530000000000001
Oman,OMN,Asia,0,0.8210000000000001
Palestine,PSE,Asia,2.03075,0.6859999999999999
Panama,PAN,America_do_Norte,15.201657142857142,0.7889999999999999
Paraguay,PRY,America_do_Sul,5.18525,0.702
Peru,PER,America_do_Sul,0.4888142857142857,0.75
Philippines,PHL,Asia,7.470433333333333,0.699
Poland,POL,Europa,0.041671428571428575,0.8650000000000001
Portugal,PRT,Europa,0.2853,0.8470000000000001
Qatar,QAT,Asia,0.0752,0.8560000000000001
Romania,ROU,Europa,0.0351375,0.811
Russia,RUS,Asia,0.9014,0.8160000000000001
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,0.589
Saudi-Arabia,SAU,Asia,0.035,0.8530000000000001
Serbia,SRB,Europa,0.7431428571428571,0.7869999999999999
Singapore,SGP,Asia,7.142857142857143e-4,0.932
Slovakia,SVK,Europa,0.18293333333333334,0.8550000000000001
Slovenia,SVN,Europa,0.25871428571428573,0.896
South-Africa,ZAF,Africa,11.9525,0.699
South-Korea,KOR,Asia,0.020142857142857143,0.903
South-Sudan,SSD,Africa,1.993,0.388
Spain,ESP,Europa,0.1273,0.891
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,0.778
St-Lucia,LCA,America_do_Norte,12.572,0.747
Suriname,SUR,America_do_Sul,1.3685666666666667,0.72
Sweden,SWE,Europa,0.2340125,0.933
Switzerland,CHE,Europa,0.18586666666666668,0.9440000000000001
Syria,SYR,Asia,0.616,0.536
Tajikistan,TJK,Asia,0.21270666666666666,0.65
Thailand,THA,Asia,2.587625,0.755
Tonga,TON,Oceania,0.001,0.726
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,0.7839999999999999
Tunisia,TUN,Africa,0.0345,0.735
Turkey,TUR,Europa,0.777,0.7909999999999999
Uganda,UGA,Africa,1.54006,0.516
Ukraine,UKR,Europa,0.22356,0.751
United-Kingdom,GBR,Europa,0.03181428571428571,0.922
United-States,USA,America_do_Norte,3.8391555555555557,0.924
Uruguay,URY,America_do_Sul,3.5788285714285712,0.804
Uzbekistan,UZB,Asia,0.046,0.71
Venezuela,VEN,America_do_Sul,28.57428,0.761
Zambia,ZMB,Africa,0.305,0.588
