Country,ABV,Continente,HomMed,Por_Desemp
Albania,ALB,Europa,2.3692,13.8
Andorra,AND,Europa,0.004666666666666667,3.7
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,11
Argentina,ARG,America_do_Sul,2.485957142857143,8.4
Armenia,ARM,Asia,0.29600000000000004,18.9
Australia,AUS,Oceania,0.1637,5.6
Austria,AUT,Europa,0.1401375,5.5
Azerbaijan,AZE,Asia,0.275,5
Bahamas,BHS,America_do_Norte,29.101166666666668,10.1
Bahrain,BHR,Asia,0.061200000000000004,3.6
Barbados,BRB,America_do_Norte,1.2622,10.1
Belarus,BLR,Europa,0.123305,0.8
Belgium,BEL,Europa,0.2617714285714286,7.1
Belize,BLZ,America_do_Norte,20.573014285714287,9
Bermuda,BMU,America_do_Norte,4.113833333333333,7
Bolivia,BOL,America_do_Sul,0.748,4
Bosnia-And-Herzegovina,BIH,Europa,0.49688,20.5
Brazil,BRA,America_do_Sul,19.717585714285715,12.8
Brunei,BRN,Asia,0,6.9
Bulgaria,BGR,Europa,0.3552,6.2
Canada,CAN,America_do_Norte,0.5107111111111111,6.3
Chile,CHL,America_do_Sul,1.6417714285714287,6.7
Colombia,COL,America_do_Sul,26.9846,9.3
Costa-Rica,CRI,America_do_Norte,6.083616666666667,8.1
Croatia,HRV,Europa,0.36265000000000003,12.4
Cuba,CUB,America_do_Norte,0.2187714285714286,2.6
Cyprus,CYP,Asia,0.466375,11.1
Czech-Republic,CZE,Europa,0.1352625,2.9
Denmark,DNK,Europa,0.14444285714285715,5.7
Dominica,DMA,America_do_Norte,3.3232857142857144,23
Dominican-Republic,DOM,America_do_Norte,8.24834,5.1
Ecuador,ECU,America_do_Sul,6.795957142857143,4.6
Egypt,EGY,Africa,0.11957142857142856,12.2
El-Salvador,SLV,America_do_Norte,39.16866666666667,7
Estonia,EST,Europa,0.34851666666666664,5.8
Fiji,FJI,Oceania,0,4.5
Finland,FIN,Europa,0.28034285714285717,8.5
France,FRA,Europa,0.1936,9.4
Georgia,GEO,Asia,5.197555555555556,11.8
Germany,DEU,Europa,0.06882857142857143,3.8
Greece,GRC,Europa,0.46208571428571427,21.5
Grenada,GRD,America_do_Norte,0.2636671428571429,24
Guam,GUM,Oceania,2.036,4.5
Guatemala,GTM,America_do_Norte,25.575985714285714,2.3
Guyana,GUY,America_do_Sul,4.6583,11.1
Honduras,HND,America_do_Norte,53.2672,5.6
Hong-Kong,HKG,Asia,0.00824,3.1
Hungary,HUN,Europa,0.0776375,4.2
Iceland,ISL,Europa,0.039177125,2.8
India,IND,Asia,0.25409000000000004,8.5
Iran,IRN,Asia,0.48200000000000004,11.8
Ireland,IRL,Europa,0.3053666666666667,6.7
Israel,ISR,Asia,0.8773857142857143,4.2
Italy,ITA,Europa,0.3159142857142857,11.3
Jamaica,JAM,America_do_Norte,25.892116666666666,12.2
Japan,JPN,Asia,0.004285714285714286,2.9
Jordan,JOR,Asia,1.21725,18.3
Kazakhstan,KAZ,Asia,0.4828142857142857,5
Kuwait,KWT,Asia,0.24783333333333332,1.1
Kyrgyzstan,KGZ,Asia,0.3412857142857143,7.1
Latvia,LVA,Europa,0.2730571428571429,8.7
Liberia,LBR,Africa,0.445,2.8
Liechtenstein,LIE,Europa,0.0026666666666666666,2.4
Lithuania,LTU,Europa,0.2451875,7.1
Luxembourg,LUX,Europa,0.08344285714285715,5.8
Macedonia,MKD,Europa,0.73232,22.4
Malaysia,MYS,Asia,0.04123333333333334,3.4
Maldives,MDV,Asia,0,2.9
Malta,MLT,Europa,0.3361657142857143,4.6
Mauritius,MUS,Africa,0.098,7.1
Mexico,MEX,America_do_Norte,11.3781,3.4
Moldova,MDA,Europa,0.29512499999999997,4.1
Mongolia,MNG,Asia,0.251525,8
Montenegro,MNE,Europa,1.910670425,16.1
Montserrat,MSR,America_do_Norte,36.42857142857143,5.6
Morocco,MAR,Africa,0.029333333333333333,10.2
Namibia,NAM,Africa,2.48375,34
Netherlands,NLD,Europa,0.22265,4.9
New-Zealand,NZL,Oceania,0.16821428571428573,4.7
Nicaragua,NIC,America_do_Norte,3.345957142857143,6.4
Norway,NOR,Europa,0.28314285714285714,4.2
Palestine,PSE,Asia,2.03075,27.9
Panama,PAN,America_do_Norte,15.201657142857142,6
Paraguay,PRY,America_do_Sul,5.18525,5.7
Peru,PER,America_do_Sul,0.4888142857142857,6.9
Philippines,PHL,Asia,7.470433333333333,5.7
Poland,POL,Europa,0.041671428571428575,4.9
Portugal,PRT,Europa,0.2853,8.9
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,10.8
Qatar,QAT,Asia,0.0752,8.9
Romania,ROU,Europa,0.0351375,4.9
Russia,RUS,Asia,0.9014,5.2
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,12.2
Saudi-Arabia,SAU,Asia,0.035,6
Serbia,SRB,Europa,0.7431428571428571,14.1
Singapore,SGP,Asia,7.142857142857143e-4,2.2
Slovakia,SVK,Europa,0.18293333333333334,8.1
Slovenia,SVN,Europa,0.25871428571428573,6.6
South-Africa,ZAF,Africa,11.9525,27.5
South-Korea,KOR,Asia,0.020142857142857143,3.7
Spain,ESP,Europa,0.1273,17.2
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,4.5
St-Lucia,LCA,America_do_Norte,12.572,20
Suriname,SUR,America_do_Sul,1.3685666666666667,8.9
Sweden,SWE,Europa,0.2340125,6.7
Switzerland,CHE,Europa,0.18586666666666668,3.2
Syria,SYR,Asia,0.616,50
Tajikistan,TJK,Asia,0.21270666666666666,2.4
Thailand,THA,Asia,2.587625,0.7
Tonga,TON,Oceania,0.001,1.1
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,4.9
Tunisia,TUN,Africa,0.0345,15.5
Turkey,TUR,Europa,0.777,10.9
Turks-And-Caicos,TCA,America_do_Norte,3.117,10
Uganda,UGA,Africa,1.54006,9.4
Ukraine,UKR,Europa,0.22356,9.2
United-Kingdom,GBR,Europa,0.03181428571428571,4.4
United-States,USA,America_do_Norte,3.8391555555555557,4.4
Uruguay,URY,America_do_Sul,3.5788285714285712,7.6
Uzbekistan,UZB,Asia,0.046,5
Venezuela,VEN,America_do_Sul,28.57428,27.1
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,2.9
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,10.4
Zambia,ZMB,Africa,0.305,15
