Country,ABV,Continente,HomMed,Forca_de_Trabalho
Albania,ALB,Europa,2.3692,1198000
Andorra,AND,Europa,0.004666666666666667,39750
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,30000
Argentina,ARG,America_do_Sul,2.485957142857143,18000000
Armenia,ARM,Asia,0.29600000000000004,1507000
Australia,AUS,Oceania,0.1637,12910000
Austria,AUT,Europa,0.1401375,4260000
Azerbaijan,AZE,Asia,0.275,5118000
Bahamas,BHS,America_do_Norte,29.101166666666668,196900
Bahrain,BHR,Asia,0.061200000000000004,831600
Barbados,BRB,America_do_Norte,1.2622,144000
Belarus,BLR,Europa,0.123305,4381000
Belgium,BEL,Europa,0.2617714285714286,5324000
Belize,BLZ,America_do_Norte,20.573014285714287,120500
Bermuda,BMU,America_do_Norte,4.113833333333333,33480
Bolivia,BOL,America_do_Sul,0.748,5719000
Bosnia-And-Herzegovina,BIH,Europa,0.49688,1380000
Brazil,BRA,America_do_Sul,19.717585714285715,104200000
Brunei,BRN,Asia,0,203600
Bulgaria,BGR,Europa,0.3552,3357000
Canada,CAN,America_do_Norte,0.5107111111111111,19520000
Chile,CHL,America_do_Sul,1.6417714285714287,8881000
Colombia,COL,America_do_Sul,26.9846,25760000
Congo-Drc,COD,Africa,1.3555000000000001,31360000
Costa-Rica,CRI,America_do_Norte,6.083616666666667,2229000
Croatia,HRV,Europa,0.36265000000000003,1559000
Cuba,CUB,America_do_Norte,0.2187714285714286,4691000
Cyprus,CYP,Asia,0.466375,426600
Czech-Republic,CZE,Europa,0.1352625,5427000
Denmark,DNK,Europa,0.14444285714285715,2998000
Dominica,DMA,America_do_Norte,3.3232857142857144,25000
Dominican-Republic,DOM,America_do_Norte,8.24834,4732000
Ecuador,ECU,America_do_Sul,6.795957142857143,8086000
Egypt,EGY,Africa,0.11957142857142856,29950000
El-Salvador,SLV,America_do_Norte,39.16866666666667,2774000
Estonia,EST,Europa,0.34851666666666664,670200
Fiji,FJI,Oceania,0,353100
Finland,FIN,Europa,0.28034285714285717,2473000
France,FRA,Europa,0.1936,30680000
Georgia,GEO,Asia,5.197555555555556,1998000
Germany,DEU,Europa,0.06882857142857143,45900000
Greece,GRC,Europa,0.46208571428571427,4769000
Grenada,GRD,America_do_Norte,0.2636671428571429,55270
Guam,GUM,Oceania,2.036,73210
Guatemala,GTM,America_do_Norte,25.575985714285714,6664000
Guyana,GUY,America_do_Sul,4.6583,313800
Honduras,HND,America_do_Norte,53.2672,3735000
Hong-Kong,HKG,Asia,0.00824,3965000
Hungary,HUN,Europa,0.0776375,4599000
Iceland,ISL,Europa,0.039177125,198700
India,IND,Asia,0.25409000000000004,521900000
Iran,IRN,Asia,0.48200000000000004,30500000
Ireland,IRL,Europa,0.3053666666666667,2226000
Israel,ISR,Asia,0.8773857142857143,4021000
Italy,ITA,Europa,0.3159142857142857,25940000
Jamaica,JAM,America_do_Norte,25.892116666666666,1348000
Japan,JPN,Asia,0.004285714285714286,65010000
Jordan,JOR,Asia,1.21725,2295000
Kazakhstan,KAZ,Asia,0.4828142857142857,8970000
Kuwait,KWT,Asia,0.24783333333333332,2695000
Kyrgyzstan,KGZ,Asia,0.3412857142857143,2841000
Latvia,LVA,Europa,0.2730571428571429,990000
Liberia,LBR,Africa,0.445,1677000
Liechtenstein,LIE,Europa,0.0026666666666666666,38520
Lithuania,LTU,Europa,0.2451875,1467000
Luxembourg,LUX,Europa,0.08344285714285715,282800
Macedonia,MKD,Europa,0.73232,950800
Malaysia,MYS,Asia,0.04123333333333334,14940000
Maldives,MDV,Asia,0,222200
Malta,MLT,Europa,0.3361657142857143,206300
Mauritius,MUS,Africa,0.098,633900
Mexico,MEX,America_do_Norte,11.3781,54510000
Moldova,MDA,Europa,0.29512499999999997,1295000
Mongolia,MNG,Asia,0.251525,1241000
Montenegro,MNE,Europa,1.910670425,273200
Montserrat,MSR,America_do_Norte,36.42857142857143,4521
Morocco,MAR,Africa,0.029333333333333333,12000000
Namibia,NAM,Africa,2.48375,956800
Netherlands,NLD,Europa,0.22265,7969000
New-Zealand,NZL,Oceania,0.16821428571428573,2655000
Nicaragua,NIC,America_do_Norte,3.345957142857143,3046000
Norway,NOR,Europa,0.28314285714285714,2797000
Oman,OMN,Asia,0,2255000
Palestine,PSE,Asia,2.03075,1240000
Panama,PAN,America_do_Norte,15.201657142857142,1633000
Paraguay,PRY,America_do_Sul,5.18525,3428000
Peru,PER,America_do_Sul,0.4888142857142857,17030000
Philippines,PHL,Asia,7.470433333333333,42780000
Poland,POL,Europa,0.041671428571428575,17600000
Portugal,PRT,Europa,0.2853,5233000
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,1139000
Qatar,QAT,Asia,0.0752,1953000
Romania,ROU,Europa,0.0351375,8951000
Russia,RUS,Asia,0.9014,76530000
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,72600
Saudi-Arabia,SAU,Asia,0.035,13800000
Serbia,SRB,Europa,0.7431428571428571,2920000
Singapore,SGP,Asia,7.142857142857143e-4,3657000
Slovakia,SVK,Europa,0.18293333333333334,2758000
Slovenia,SVN,Europa,0.25871428571428573,959000
South-Africa,ZAF,Africa,11.9525,22190000
South-Korea,KOR,Asia,0.020142857142857143,27750000
Spain,ESP,Europa,0.1273,22750000
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,18170
St-Lucia,LCA,America_do_Norte,12.572,79700
Suriname,SUR,America_do_Sul,1.3685666666666667,144000
Sweden,SWE,Europa,0.2340125,5361000
Switzerland,CHE,Europa,0.18586666666666668,5159000
Syria,SYR,Asia,0.616,3767000
Tajikistan,TJK,Asia,0.21270666666666666,2295000
Thailand,THA,Asia,2.587625,38370000
Tonga,TON,Oceania,0.001,33800
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,629400
Tunisia,TUN,Africa,0.0345,4054000
Turkey,TUR,Europa,0.777,31300000
Turks-And-Caicos,TCA,America_do_Norte,3.117,4848
Uganda,UGA,Africa,1.54006,15840000
Ukraine,UKR,Europa,0.22356,17990000
United-Kingdom,GBR,Europa,0.03181428571428571,33500000
United-States,USA,America_do_Norte,3.8391555555555557,160400000
Uruguay,URY,America_do_Sul,3.5788285714285712,1748000
Uzbekistan,UZB,Asia,0.046,18120000
Venezuela,VEN,America_do_Sul,28.57428,14210000
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,12770
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,48550
Zambia,ZMB,Africa,0.305,6898000
