Country,ABV,Continente,HomMed,Export_Dolar
Albania,ALB,Europa,2.3692,900700000
Andorra,AND,Europa,0.004666666666666667,78710000
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,86700000
Argentina,ARG,America_do_Sul,2.485957142857143,58450000000
Armenia,ARM,Asia,0.29600000000000004,2361000000
Australia,AUS,Oceania,0.1637,231600000000
Austria,AUT,Europa,0.1401375,156700000000
Azerbaijan,AZE,Asia,0.275,15150000000
Bahamas,BHS,America_do_Norte,29.101166666666668,550000000
Bahrain,BHR,Asia,0.061200000000000004,15380000000
Barbados,BRB,America_do_Norte,1.2622,485400000
Belarus,BLR,Europa,0.123305,28650000000
Belgium,BEL,Europa,0.2617714285714286,300800000000
Belize,BLZ,America_do_Norte,20.573014285714287,457500000
Bermuda,BMU,America_do_Norte,4.113833333333333,19000000
Bolivia,BOL,America_do_Sul,0.748,7746000000
Bosnia-And-Herzegovina,BIH,Europa,0.49688,5205000000
Brazil,BRA,America_do_Sul,19.717585714285715,217200000000
Brunei,BRN,Asia,0,5885000000
Bulgaria,BGR,Europa,0.3552,29080000000
Canada,CAN,America_do_Norte,0.5107111111111111,423500000000
Chile,CHL,America_do_Sul,1.6417714285714287,69230000000
Colombia,COL,America_do_Sul,26.9846,39480000000
Congo-Drc,COD,Africa,1.3555000000000001,10980000000
Costa-Rica,CRI,America_do_Norte,6.083616666666667,10810000000
Croatia,HRV,Europa,0.36265000000000003,13150000000
Cuba,CUB,America_do_Norte,0.2187714285714286,2630000000
Cyprus,CYP,Asia,0.466375,2805000000
Czech-Republic,CZE,Europa,0.1352625,144800000000
Denmark,DNK,Europa,0.14444285714285715,113600000000
Dominica,DMA,America_do_Norte,3.3232857142857144,28000000
Dominican-Republic,DOM,America_do_Norte,8.24834,10120000000
Ecuador,ECU,America_do_Sul,6.795957142857143,19620000000
Egypt,EGY,Africa,0.11957142857142856,23300000000
El-Salvador,SLV,America_do_Norte,39.16866666666667,4662000000
Estonia,EST,Europa,0.34851666666666664,13440000000
Fiji,FJI,Oceania,0,908200000
Finland,FIN,Europa,0.28034285714285717,67730000000
France,FRA,Europa,0.1936,549900000000
Georgia,GEO,Asia,5.197555555555556,3566000000
Germany,DEU,Europa,0.06882857142857143,1434000000000
Greece,GRC,Europa,0.46208571428571427,31540000000
Grenada,GRD,America_do_Norte,0.2636671428571429,39900000
Guam,GUM,Oceania,2.036,1124000000
Guatemala,GTM,America_do_Norte,25.575985714285714,11120000000
Guyana,GUY,America_do_Sul,4.6583,1439000000
Honduras,HND,America_do_Norte,53.2672,8675000000
Hong-Kong,HKG,Asia,0.00824,537800000000
Hungary,HUN,Europa,0.0776375,98740000000
Iceland,ISL,Europa,0.039177125,4957000000
India,IND,Asia,0.25409000000000004,304100000000
Iran,IRN,Asia,0.48200000000000004,101400000000
Ireland,IRL,Europa,0.3053666666666667,219700000000
Israel,ISR,Asia,0.8773857142857143,58670000000
Italy,ITA,Europa,0.3159142857142857,496300000000
Jamaica,JAM,America_do_Norte,25.892116666666666,1296000000
Japan,JPN,Asia,0.004285714285714286,688900000000
Jordan,JOR,Asia,1.21725,7511000000
Kazakhstan,KAZ,Asia,0.4828142857142857,49290000000
Kuwait,KWT,Asia,0.24783333333333332,55170000000
Kyrgyzstan,KGZ,Asia,0.3412857142857143,1840000000
Latvia,LVA,Europa,0.2730571428571429,12840000000
Liberia,LBR,Africa,0.445,260600000
Liechtenstein,LIE,Europa,0.0026666666666666666,3217000000
Lithuania,LTU,Europa,0.2451875,29120000000
Luxembourg,LUX,Europa,0.08344285714285715,15990000000
Macedonia,MKD,Europa,0.73232,4601000000
Malaysia,MYS,Asia,0.04123333333333334,187900000000
Maldives,MDV,Asia,0,256200000
Malta,MLT,Europa,0.3361657142857143,3272000000
Mauritius,MUS,Africa,0.098,2360000000
Mexico,MEX,America_do_Norte,11.3781,409800000000
Moldova,MDA,Europa,0.29512499999999997,1858000000
Mongolia,MNG,Asia,0.251525,5834000000
Montenegro,MNE,Europa,1.910670425,422200000
Montserrat,MSR,America_do_Norte,36.42857142857143,4400000
Morocco,MAR,Africa,0.029333333333333333,21480000000
Namibia,NAM,Africa,2.48375,3995000000
Netherlands,NLD,Europa,0.22265,839700000
New-Zealand,NZL,Oceania,0.16821428571428573,37350000000
Nicaragua,NIC,America_do_Norte,3.345957142857143,38190000000
Norway,NOR,Europa,0.28314285714285714,102800000000
Oman,OMN,Asia,0,103300000000
Palestine,PSE,Asia,2.03075,2126000000
Panama,PAN,America_do_Norte,15.201657142857142,15500000000
Paraguay,PRY,America_do_Sul,5.18525,11730000000
Peru,PER,America_do_Sul,0.4888142857142857,44920000000
Philippines,PHL,Asia,7.470433333333333,48200000000
Poland,POL,Europa,0.041671428571428575,224600000000
Portugal,PRT,Europa,0.2853,61000000000
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,73170000000
Qatar,QAT,Asia,0.0752,67500000000
Romania,ROU,Europa,0.0351375,64580000000
Russia,RUS,Asia,0.9014,353000000000
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,15600000
Saudi-Arabia,SAU,Asia,0.035,221100000000
Serbia,SRB,Europa,0.7431428571428571,15920000000
Singapore,SGP,Asia,7.142857142857143e-4,396800000000
Slovakia,SVK,Europa,0.18293333333333334,80800000000
Slovenia,SVN,Europa,0.25871428571428573,32140000000
South-Africa,ZAF,Africa,11.9525,94930000000
South-Korea,KOR,Asia,0.020142857142857143,577400000000
South-Sudan,SSD,Africa,1.993,1130000000
Spain,ESP,Europa,0.1273,313700000000
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,57400000
St-Lucia,LCA,America_do_Norte,12.572,185100000
Suriname,SUR,America_do_Sul,1.3685666666666667,2028000000
Sweden,SWE,Europa,0.2340125,165600000000
Switzerland,CHE,Europa,0.18586666666666668,313500000000
Syria,SYR,Asia,0.616,1850000000
Tajikistan,TJK,Asia,0.21270666666666666,873100000
Thailand,THA,Asia,2.587625,235100000000
Tonga,TON,Oceania,0.001,18400000
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,9927000000
Tunisia,TUN,Africa,0.0345,13820000000
Turkey,TUR,Europa,0.777,166200000000
Turks-And-Caicos,TCA,America_do_Norte,3.117,24770000
Uganda,UGA,Africa,1.54006,3339000000
Ukraine,UKR,Europa,0.22356,39690000000
United-Kingdom,GBR,Europa,0.03181428571428571,441200000000
United-States,USA,America_do_Norte,3.8391555555555557,1553000000000
Uruguay,URY,America_do_Sul,3.5788285714285712,11410000000
Uzbekistan,UZB,Asia,0.046,11480000000
Venezuela,VEN,America_do_Sul,28.57428,32060000000
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,23000000
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,1810000000
Zambia,ZMB,Africa,0.305,8216000000
