Country,ABV,Continente,HomMed,Import_Dolar
Albania,ALB,Europa,2.3692,4103000000
Andorra,AND,Europa,0.004666666666666667,1257000000
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,560000000
Argentina,ARG,America_do_Sul,2.485957142857143,63970000000
Armenia,ARM,Asia,0.29600000000000004,3771000000
Australia,AUS,Oceania,0.1637,221000000000
Austria,AUT,Europa,0.1401375,158100000000
Azerbaijan,AZE,Asia,0.275,9037000000
Bahamas,BHS,America_do_Norte,29.101166666666668,3180000000
Bahrain,BHR,Asia,0.061200000000000004,16080000000
Barbados,BRB,America_do_Norte,1.2622,1520000000
Belarus,BLR,Europa,0.123305,31580000000
Belgium,BEL,Europa,0.2617714285714286,300400000000
Belize,BLZ,America_do_Norte,20.573014285714287,845900000
Bermuda,BMU,America_do_Norte,4.113833333333333,1094000000
Bolivia,BOL,America_do_Sul,0.748,8601000000
Bosnia-And-Herzegovina,BIH,Europa,0.49688,9547000000
Brazil,BRA,America_do_Sul,19.717585714285715,153200000000
Brunei,BRN,Asia,0,2998000000
Bulgaria,BGR,Europa,0.3552,31430000000
Canada,CAN,America_do_Norte,0.5107111111111111,442100000000
Chile,CHL,America_do_Sul,1.6417714285714287,61310000000
Colombia,COL,America_do_Sul,26.9846,44240000000
Congo-Drc,COD,Africa,1.3555000000000001,10820000000
Costa-Rica,CRI,America_do_Norte,6.083616666666667,15150000000
Croatia,HRV,Europa,0.36265000000000003,22340000000
Cuba,CUB,America_do_Norte,0.2187714285714286,11060000000
Cyprus,CYP,Asia,0.466375,7935000000
Czech-Republic,CZE,Europa,0.1352625,134700000000
Denmark,DNK,Europa,0.14444285714285715,94930000000
Dominica,DMA,America_do_Norte,3.3232857142857144,206600000
Dominican-Republic,DOM,America_do_Norte,8.24834,17700000000
Ecuador,ECU,America_do_Sul,6.795957142857143,19310000000
Egypt,EGY,Africa,0.11957142857142856,59780000000
El-Salvador,SLV,America_do_Norte,39.16866666666667,9499000000
Estonia,EST,Europa,0.34851666666666664,14420000000
Fiji,FJI,Oceania,0,1911000000
Finland,FIN,Europa,0.28034285714285717,65260000000
France,FRA,Europa,0.1936,601700000000
Georgia,GEO,Asia,5.197555555555556,7415000000
Germany,DEU,Europa,0.06882857142857143,1135000000000
Greece,GRC,Europa,0.46208571428571427,52270000000
Grenada,GRD,America_do_Norte,0.2636671428571429,316000000
Guam,GUM,Oceania,2.036,2964000000
Guatemala,GTM,America_do_Norte,25.575985714285714,17110000000
Guyana,GUY,America_do_Sul,4.6583,1626000000
Honduras,HND,America_do_Norte,53.2672,11320000000
Hong-Kong,HKG,Asia,0.00824,561800000000
Hungary,HUN,Europa,0.0776375,96300000000
Iceland,ISL,Europa,0.039177125,6525000000
India,IND,Asia,0.25409000000000004,452200000000
Iran,IRN,Asia,0.48200000000000004,76390000000
Ireland,IRL,Europa,0.3053666666666667,98130000000
Israel,ISR,Asia,0.8773857142857143,68610000000
Italy,ITA,Europa,0.3159142857142857,432900000000
Jamaica,JAM,America_do_Norte,25.892116666666666,5151000000
Japan,JPN,Asia,0.004285714285714286,644700000000
Jordan,JOR,Asia,1.21725,18210000000
Kazakhstan,KAZ,Asia,0.4828142857142857,31850000000
Kuwait,KWT,Asia,0.24783333333333332,29530000000
Kyrgyzstan,KGZ,Asia,0.3412857142857143,4187000000
Latvia,LVA,Europa,0.2730571428571429,15790000000
Liberia,LBR,Africa,0.445,1166000000
Liechtenstein,LIE,Europa,0.0026666666666666666,0
Lithuania,LTU,Europa,0.2451875,31560000000
Luxembourg,LUX,Europa,0.08344285714285715,20660000000
Macedonia,MKD,Europa,0.73232,6630000000
Malaysia,MYS,Asia,0.04123333333333334,160700000000
Maldives,MDV,Asia,0,2125000000
Malta,MLT,Europa,0.3361657142857143,4996000000
Mauritius,MUS,Africa,0.098,4986000000
Mexico,MEX,America_do_Norte,11.3781,420800000000
Moldova,MDA,Europa,0.29512499999999997,4427000000
Mongolia,MNG,Asia,0.251525,4345000000
Montenegro,MNE,Europa,1.910670425,2618000000
Montserrat,MSR,America_do_Norte,36.42857142857143,39440000
Morocco,MAR,Africa,0.029333333333333333,39640000000
Namibia,NAM,Africa,2.48375,5384000000
Netherlands,NLD,Europa,0.22265,453800000000
New-Zealand,NZL,Oceania,0.16821428571428573,39740000000
Nicaragua,NIC,America_do_Norte,3.345957142857143,6613000000
Norway,NOR,Europa,0.28314285714285714,95060000000
Oman,OMN,Asia,0,24120000000
Palestine,PSE,Asia,2.03075,6565000000
Panama,PAN,America_do_Norte,15.201657142857142,21910000000
Paraguay,PRY,America_do_Sul,5.18525,11350000000
Peru,PER,America_do_Sul,0.4888142857142857,38650000000
Philippines,PHL,Asia,7.470433333333333,89390000000
Poland,POL,Europa,0.041671428571428575,223800000000
Portugal,PRT,Europa,0.2853,74730000000
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,49010000000
Qatar,QAT,Asia,0.0752,30770000000
Romania,ROU,Europa,0.0351375,78120000000
Russia,RUS,Asia,0.9014,238000000000
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,127700000
Saudi-Arabia,SAU,Asia,0.035,119300000000
Serbia,SRB,Europa,0.7431428571428571,20440000000
Singapore,SGP,Asia,7.142857142857143e-4,312100000000
Slovakia,SVK,Europa,0.18293333333333334,80070000000
Slovenia,SVN,Europa,0.25871428571428573,30380000000
South-Africa,ZAF,Africa,11.9525,89360000000
South-Korea,KOR,Asia,0.020142857142857143,457500000000
South-Sudan,SSD,Africa,1.993,3795000000
Spain,ESP,Europa,0.1273,338600000000
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,335300000
St-Lucia,LCA,America_do_Norte,12.572,600000000
Suriname,SUR,America_do_Sul,1.3685666666666667,1293000000
Sweden,SWE,Europa,0.2340125,153200000000
Switzerland,CHE,Europa,0.18586666666666668,264500000000
Syria,SYR,Asia,0.616,6279000000
Tajikistan,TJK,Asia,0.21270666666666666,2390000000
Thailand,THA,Asia,2.587625,203200000000
Tonga,TON,Oceania,0.001,250200000
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,6105000000
Tunisia,TUN,Africa,0.0345,19090000000
Turkey,TUR,Europa,0.777,225100000000
Turks-And-Caicos,TCA,America_do_Norte,3.117,591300000
Uganda,UGA,Africa,1.54006,5036000000
Ukraine,UKR,Europa,0.22356,49060000000
United-Kingdom,GBR,Europa,0.03181428571428571,615900000000
United-States,USA,America_do_Norte,3.8391555555555557,2361000000000
Uruguay,URY,America_do_Sul,3.5788285714285712,8607000000
Uzbekistan,UZB,Asia,0.046,11420000000
Venezuela,VEN,America_do_Sul,28.57428,11000000000
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,300000000
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,2489000000
Zambia,ZMB,Africa,0.305,7852000000
